time,price
1475128589,13.33
1475132189,13.28
1475135790,13.28
1475139390,13.27
1475142991,13.27
1475146592,13.23
1475150192,13.18
1475153793,13.17
1475157397,13.14
1475160998,13.12
1475164599,13.13
1475168200,13.12
1475171800,13.13
1475175402,13.11
1475179004,13.13
1475182606,13.16
1475186207,13.15
1475189808,13.17
1475193409,13.17
1475197012,13.19
1475200613,13.16
1475204214,13.16
1475207814,13.13
1475211415,13.09
1475215016,13.10
1475218616,13.09
1475222217,13.09
1475225818,13.10
1475229419,13.09
1475233020,13.10
1475236621,13.10
1475240222,13.13
1475243823,13.22
1475247423,13.27
1475251024,13.22
1475254625,13.26
1475258226,13.27
1475261827,13.32
1475265428,13.33
1475269029,13.32
1475272630,13.32
1475276231,13.30
1475279832,13.31
1475283434,13.32
1475287034,13.34
1475290635,13.31
1475294236,13.27
1475297837,13.22
1475301437,13.16
1475305038,13.13
1475308639,13.16
1475312239,13.16
1475315840,13.17
1475319441,13.18
1475323043,13.16
1475326643,13.16
1475330244,13.18
1475333845,13.20
1475337446,13.20
1475341047,13.18
1475344648,13.18
1475348249,13.21
1475351850,13.20
1475355451,13.17
1475359051,13.19
1475362652,13.21
1475366253,13.22
1475369854,13.16
1475373455,13.20
1475377055,13.27
1475380656,13.23
1475384257,13.22
1475387858,13.22
1475391458,13.22
1475395059,13.20
1475398660,13.20
1475402260,13.21
1475405861,13.23
1475409462,13.20
1475413062,13.23
1475416664,13.24
1475420265,13.20
1475423865,13.22
1475427473,13.22
1475431075,13.23
1475434675,13.26
1475438277,13.27
1475441879,13.25
1475445481,13.25
1475449083,13.23
1475452686,13.23
1475456288,13.23
1475459888,13.22
1475463489,13.24
1475467090,13.23
1475470691,13.24
1475474291,13.26
1475477892,13.25
1475481493,13.24
1475485094,13.24
1475488695,13.22
1475492295,13.25
1475495896,13.25
1475499497,13.25
1475503098,13.24
1475506700,13.25
1475510301,13.26
1475513902,13.25
1475517506,13.24
1475521108,13.26
1475524710,13.28
1475528311,13.30
1475531912,13.33
1475535513,13.38
1475539116,13.38
1475542716,13.42
1475546318,13.44
1475549919,13.45
1475553519,13.46
1475557120,13.45
1475560721,13.47
1475564321,13.49
1475567922,13.47
1475571523,13.43
1475575123,13.40
1475578724,13.41
1475582325,13.45
1475585925,13.47
1475589526,13.49
1475593127,13.50
1475596129,13.47
1475599924,13.48
1475603525,13.47
1475607126,13.45
1475610727,13.44
1475614328,13.40
1475617930,13.38
1475621531,13.42
1475625138,13.32
1475628741,13.27
1475632342,13.27
1475635943,13.29
1475639543,13.30
1475643144,13.31
1475646745,13.32
1475650345,13.29
1475653946,13.29
1475657546,13.26
1475661147,13.30
1475664750,13.34
1475668350,13.36
1475671951,13.30
1475675552,13.28
1475679153,13.28
1475682756,13.25
1475686365,13.27
1475689969,13.28
1475693570,13.30
1475697171,13.29
1475700772,13.29
1475704373,13.27
1475707975,13.25
1475711579,13.24
1475715189,13.22
1475718790,13.16
1475722391,13.12
1475725992,13.10
1475729593,13.08
1475733193,13.12
1475736794,13.10
1475740395,13.08
1475743996,13.10
1475747597,13.09
1475751198,13.10
1475754799,13.06
1475758399,13.06
1475762000,12.98
1475765601,12.79
1475769203,12.84
1475772803,12.76
1475776406,12.77
1475780007,12.78
1475783608,12.78
1475787209,12.86
1475790810,12.89
1475794411,12.86
1475798012,12.92
1475801613,12.87
1475805214,12.84
1475808815,12.85
1475812416,12.86
1475816017,12.86
1475819617,12.93
1475823218,12.93
1475826819,12.92
1475830419,12.98
1475834020,12.97
1475837621,12.95
1475841222,12.91
1475844822,12.87
1475848423,12.84
1475852024,12.81
1475855625,12.65
1475859226,12.57
1475862827,12.61
1475866429,12.60
1475870031,12.60
1475873632,12.61
